ANN TRAINER
    board size=13x13
    target value offset=0.7159
    hyperbolic constant a=1.7159
    hyperbolic constant b=0.6667
    initial minimum weight=0.0001
    learning rate=0.0020
    omp thread num=4
    nr of input units=507
    nr of neurons=338
    nr of connections=58948, avg 174.4
    max weight distance=8

21:39:16 | info | dset | Data set loaded with 304175 examples, yielding 2432774 examples
21:39:16: Init learning rates and randomizing weights
Epoch       Error  Accuracy  Selected  BPAvg Min  Q1  Med  Q2  Max      Time
    1    1.983488  0.040061  0.613710   35.5   1   9   24  51  169  21:43:35
    2    1.975189  0.051965  0.631048   34.4   1   8   23  49  169  21:47:52
    3    1.973816  0.060621  0.623645   34.5   1   7   22  51  169  21:52:10
    4    1.973441  0.054312  0.617138   35.6   1   8   24  51  169  21:56:28
    5    1.973121  0.061620  0.628047   34.6   1   8   23  50  169  22:00:46
    6    1.972911  0.057201  0.628964   34.1   1   8   23  50  169  22:05:04
    7    1.972791  0.039444  0.640379   33.4   1   7   21  49  169  22:09:22
    8    1.972669  0.063688  0.621138   35.2   1   7   23  51  169  22:13:40
    9    1.972552  0.063593  0.647917   32.9   1   7   21  47  169  22:17:58
   10    1.972475  0.050419  0.643852   33.5   1   8   22  48  169  22:22:16
   11    1.972430  0.060346  0.639964   33.5   1   7   22  48  169  22:26:35
   12    1.972394  0.056544  0.635549   34.7   1   7   21  51  169  22:31:00
   13    1.972371  0.055237  0.633153   34.0   1   8   23  49  169  22:35:26
   14    1.972349  0.063400  0.639047   33.5   1   7   22  49  169  22:40:07
